key,value
"B15003_001","Total"
"B15003_002","No Schooling Completed"
"B15003_003","Nursery School"
"B15003_004","Kindergarten"
"B15003_005","1st grade"
"B15003_006","2nd grade"
"B15003_007","3rd grade"
"B15003_008","4th grade"
"B15003_009","5th grade"
"B15003_010","6th grade"
"B15003_011","7th grade"
"B15003_012","8th grade"
"B15003_013","9th grade"
"B15003_014","10th grade"
"B15003_015","11th grade"
"B15003_016","12th grade, no diploma"
"B15003_017","Regular high school diploma"
"B15003_018","GED or alternative credential"
"B15003_019","Some college, less than 1 year"
"B15003_020","Some college, 1 or more years, no degree"
"B15003_021","Associate's degree"
"B15003_022","Bachelor's degree"
"B15003_023","Master's degree"
"B15003_024","Professional school degree"
"B15003_025","Doctorate degree"
